121.6.36.0,121.6.37.255,AS,SG,,"Singapore (Choa Chu Kang New Town)",1.38398,103.747
121.6.38.0,121.6.38.255,AS,SG,,"Singapore (Sengkang)",1.38681,103.891
121.6.39.0,121.6.39.255,AS,SG,,Singapore,1.29209,103.807
121.6.40.0,121.6.40.255,AS,SG,,"Singapore (Choa Chu Kang New Town)",1.38398,103.747
121.6.41.0,121.6.41.255,AS,SG,,"Singapore (Sengkang)",1.38681,103.891
121.6.42.0,121.6.42.255,AS,SG,,Singapore,1.29209,103.807
121.6.43.0,121.6.48.255,AS,SG,,"Singapore (Choa Chu Kang New Town)",1.38398,103.747
121.6.49.0,121.6.51.255,AS,SG,,Singapore,1.29209,103.807
121.6.52.0,121.6.53.255,AS,SG,,"Singapore (Sengkang)",1.38681,103.891
121.6.54.0,121.6.54.255,AS,SG,,"Singapore (Choa Chu Kang New Town)",1.38398,103.747
121.6.55.0,121.6.56.255,AS,SG,,"Singapore (Sengkang)",1.38681,103.891
121.6.57.0,121.6.57.255,AS,SG,,Singapore,1.28967,103.85
121.6.58.0,121.6.58.255,AS,SG,,"Singapore (Sengkang)",1.38681,103.891
121.6.59.0,121.6.59.255,AS,SG,,Singapore,1.29209,103.807
121.6.60.0,121.6.60.255,AS,SG,,"Singapore (Choa Chu Kang New Town)",1.38398,103.747
121.6.61.0,121.6.63.255,AS,SG,,"Singapore (Sengkang)",1.38681,103.891
121.6.64.0,121.6.67.255,AS,SG,,Singapore,1.29209,103.807
121.6.68.0,121.6.69.255,AS,SG,,"Singapore (Choa Chu Kang New Town)",1.38398,103.747
121.6.70.0,121.6.70.255,AS,SG,,Singapore,1.29209,103.807
121.6.71.0,121.6.71.255,AS,SG,,"Singapore (Sengkang)",1.38681,103.891
121.6.72.0,121.6.72.255,AS,SG,,Singapore,1.29209,103.807
121.6.73.0,121.6.73.255,AS,SG,,"Singapore (Sengkang)",1.38681,103.891
121.6.74.0,121.6.74.255,AS,SG,,"Singapore (Choa Chu Kang New Town)",1.38398,103.747
121.6.75.0,121.6.75.255,AS,SG,,Singapore,1.29209,103.807
121.6.76.0,121.6.76.255,AS,SG,,Woodlands,1.43801,103.789
121.6.77.0,121.6.80.255,AS,SG,,Singapore,1.29209,103.807
121.6.81.0,121.6.81.255,AS,SG,,"Singapore (Sengkang)",1.38681,103.891
121.6.82.0,121.6.82.255,AS,SG,,Singapore,1.29209,103.807
121.6.83.0,121.6.84.255,AS,SG,,"Singapore (Sengkang)",1.38681,103.891
121.6.85.0,121.6.86.255,AS,SG,,"Singapore (Choa Chu Kang New Town)",1.38398,103.747
121.6.87.0,121.6.87.255,AS,SG,,Singapore,1.29209,103.807
121.6.88.0,121.6.89.255,AS,SG,,"Singapore (Sengkang)",1.38681,103.891
121.6.90.0,121.6.90.255,AS,SG,,"Singapore (Choa Chu Kang New Town)",1.38398,103.747
121.6.91.0,121.6.91.255,AS,SG,,Singapore,1.29209,103.807
121.6.92.0,121.6.92.255,AS,SG,,"Singapore (Sengkang)",1.38681,103.891
121.6.93.0,121.6.95.255,AS,SG,,"Singapore (Choa Chu Kang New Town)",1.38398,103.747
121.6.96.0,121.6.97.255,AS,SG,,"Singapore (Sengkang)",1.38681,103.891
121.6.98.0,121.6.99.255,AS,SG,,"Singapore (Choa Chu Kang New Town)",1.38398,103.747
121.6.100.0,121.6.100.255,AS,SG,,"Singapore (Sengkang)",1.38681,103.891
121.6.101.0,121.6.101.255,AS,SG,,"Singapore (Choa Chu Kang New Town)",1.38398,103.747
121.6.102.0,121.6.102.255,AS,SG,,"Singapore (Sengkang)",1.38681,103.891
121.6.103.0,121.6.103.255,AS,SG,,"Singapore (Choa Chu Kang New Town)",1.38398,103.747
121.6.104.0,121.6.104.255,AS,SG,,Singapore,1.29209,103.807
121.6.105.0,121.6.106.255,AS,SG,,"Singapore (Sengkang)",1.38681,103.891
121.6.107.0,121.6.107.255,AS,SG,,"Singapore (Choa Chu Kang New Town)",1.38398,103.747
121.6.108.0,121.6.111.255,AS,SG,,"Singapore (Sengkang)",1.38681,103.891
121.6.112.0,121.6.115.255,AS,SG,,"Singapore (Choa Chu Kang New Town)",1.38398,103.747
